Similarity To Query-ID And Document-ID (Sorted):
{[1,42]=0.08395181062487433,
[1,60]=0.07578888822826098,
[1,24]=0.07397734398433496,
[1,34]=0.07329428946414929,
[1,38]=0.06934174174971382,
[1,17]=0.06186402385443271,
[1,53]=0.05110914693573692,
[1,35]=0.047194197739845706,
[1,16]=0.04709169558562909,
[1,29]=0.046550809017674256,
[1,28]=0.043734556049643256,
[1,8]=0.041114684984360605,
[1,13]=0.03708332809451048,
[1,52]=0.03562735178389658,
[1,49]=0.032474308358016166,
[1,5]=0.03049396003133764,
[1,58]=0.027043329103987254,
[1,10]=0.02637029860533483,
[1,43]=0.025017967639469233,
[1,12]=0.02363624681670877,
[1,25]=0.0215216869895866,
[1,7]=0.020155694093356956,
[1,9]=0.01369304112756005,
[1,14]=0.01258218232203662,
[1,47]=0.011705268870468704,
[1,21]=0.010452606432092209,
[1,1]=0.0,
[1,2]=0.0,
[1,3]=0.0,
[1,4]=0.0,
[1,6]=0.0,
[1,11]=0.0,
[1,15]=0.0,
[1,18]=0.0,
[1,19]=0.0,
[1,20]=0.0,
[1,22]=0.0,
[1,23]=0.0,
[1,26]=0.0,
[1,27]=0.0,
[1,30]=0.0,
[1,31]=0.0,
[1,32]=0.0,
[1,33]=0.0,
[1,36]=0.0,
[1,37]=0.0,
[1,39]=0.0,
[1,40]=0.0,
[1,41]=0.0,
[1,44]=0.0,
[1,45]=0.0,
[1,46]=0.0,
[1,48]=0.0,
[1,50]=0.0,
[1,51]=0.0,
[1,54]=0.0,
[1,55]=0.0,
[1,56]=0.0,
[1,57]=0.0,
[1,59]=0.0}
=============================================================================
